k,knn
34,137.5588235294117647
35,83.3428571428571429
35,88.0285714285714286
35,101.9142857142857143
35,118.2
36,77.6944444444444444
36,83.1944444444444444
36,85.7222222222222222
36,89.2777777777777778
36,91.0277777777777778
36,91.3888888888888889
36,98.0833333333333333
36,100.6388888888888889
36,102.9444444444444444
36,103.3333333333333333
36,105.6944444444444444
36,111.2777777777777778
36,118.4166666666666667
36,125.6944444444444444
37,54.9459459459459459
37,85.2702702702702703
37,87.5135135135135135
37,99.8108108108108108
37,106.2432432432432432
37,126.972972972972973
37,128.972972972972973
37,149.0540540540540541
38,90.5526315789473684
38,90.6578947368421053
38,91.4736842105263158
38,97.9473684210526316
38,118.5
38,133.0263157894736842
39,91.7179487179487179
39,92.0769230769230769
39,94.0256410256410256
39,100.9487179487179487
39,107.0512820512820513
39,108.5384615384615385
39,125.1538461538461538
39,155.7692307692307692
40,79.175
40,80.025
40,84.35
40,88.95
40,101.85
40,105.3
40,109.625
41,81.6097560975609756
41,82.3414634146341463
41,90.7560975609756098
41,90.8780487804878049
41,92.3170731707317073
41,95.3170731707317073
41,106
41,135.7804878048780488
41,143.1219512195121951
42,72.7857142857142857
42,74.4285714285714286
42,81.4523809523809524
42,97
42,106.5952380952380952
42,111.5238095238095238
42,121.880952380952381
42,123.0238095238095238
42,123.4047619047619048
42,128.9761904761904762
43,67.6511627906976744
43,68.6976744186046512
43,80.6046511627906977
43,84.9069767441860465
43,93.9069767441860465
43,101.8604651162790698
43,104.8837209302325581
43,109.186046511627907
43,125.5116279069767442
43,131.8372093023255814
44,64.5454545454545455
44,94.6136363636363636
44,99.9545454545454545
44,107.7727272727272727
44,122.9318181818181818
44,140.9545454545454545
45,71.2222222222222222
45,72.5111111111111111
45,76.6444444444444444
45,77.0666666666666667
45,84.6
45,100.5111111111111111
45,101
45,105.2888888888888889
45,130.0444444444444444
45,145.1111111111111111
46,46.3478260869565217
46,59.3260869565217391
46,61.2826086956521739
46,68.2826086956521739
46,75.7173913043478261
46,101.7173913043478261
46,125.9130434782608696
46,144.108695652173913
46,144.5434782608695652
47,76.4468085106382979
47,76.6382978723404255
47,86.574468085106383
47,92.0638297872340426
47,96.6382978723404255
47,96.8085106382978723
47,98.6382978723404255
47,100.8936170212765957
47,107.9574468085106383
47,109.0851063829787234
47,121.3617021276595745
47,137.7446808510638298
48,79.8958333333333333
48,87.4375
48,99.9375
48,104.2916666666666667
48,114.7916666666666667
49,56.6530612244897959
49,70.5918367346938776
49,80.673469387755102
49,87.1836734693877551
49,90.2857142857142857
49,92.3673469387755102
49,96.5306122448979592
49,105.4285714285714286
49,116.8163265306122449
49,121.3673469387755102
49,136.9795918367346939
50,60.18
50,87.26
50,88.84
50,91.2
50,94.16
50,108.9
50,120.64
51,76.803921568627451
51,92.0784313725490196
51,92.3333333333333333
51,98.3725490196078431
51,105.3725490196078431
51,114
51,114.5686274509803922
51,117.1764705882352941
51,147.4509803921568627
52,64.9038461538461538
52,75.6346153846153846
52,97.9423076923076923
52,99.2307692307692308
52,100
52,108.6153846153846154
53,61.4905660377358491
53,87.0754716981132075
53,95.5094339622641509
53,96.9433962264150943
53,97.7169811320754717
53,102.339622641509434
53,104
53,127.2452830188679245
53,130.3962264150943396
54,93.7037037037037037
54,94.9444444444444444
54,135.1481481481481481
55,89.2545454545454545
55,117.5454545454545455
56,94.7678571428571429
56,96
56,101.3571428571428571
56,125.125
57,76.1578947368421053
57,78.5964912280701754
57,92.0526315789473684
57,94.0526315789473684
57,95.3684210526315789
57,97
57,120.6491228070175439
57,131.7192982456140351
57,134.5789473684210526
58,58.7586206896551724
58,76.896551724137931
58,95.7068965517241379
58,103.1379310344827586
58,109.7586206896551724
58,127.9655172413793103
58,133.1206896551724138
59,61.1864406779661017
59,83.8305084745762712
59,88.8135593220338983
59,89.9152542372881356
59,98.5593220338983051
59,99.576271186440678
59,100.1525423728813559
59,105.7796610169491525
59,120.9322033898305085
59,122.0677966101694915
60,63.5333333333333333
60,77.0833333333333333
60,105.3
60,107.0333333333333333
60,111.1
60,111.1833333333333333
60,112.9666666666666667
60,116.4333333333333333
60,120.15
61,52.9836065573770492
61,98.3770491803278689
61,99.7704918032786885
61,101.2786885245901639
61,107.1967213114754098
61,113.3442622950819672
61,123.0327868852459016
61,127.4918032786885246
62,90.3709677419354839
62,101.7741935483870968
62,103.9838709677419355
62,107.0967741935483871
62,107.3709677419354839
62,109.5161290322580645
62,111.3064516129032258
62,115.7258064516129032
62,117.8064516129032258
62,137
62,137.3709677419354839
62,149.032258064516129
63,55.2063492063492063
63,75.4920634920634921
63,82.380952380952381
63,83.6507936507936508
63,93.8888888888888889
63,94.9047619047619048
63,95.3492063492063492
63,96.7142857142857143
63,113.8571428571428571
63,116.0634920634920635
63,132.4603174603174603
64,78.59375
64,84.390625
64,99.03125
64,111.90625
65,70.3846153846153846
65,88.6153846153846154
65,96.2615384615384615
65,97.4
65,106.2153846153846154
65,111.7692307692307692
66,63.5
66,70.6363636363636364
66,82.8636363636363636
66,95.6818181818181818
66,122.4393939393939394
66,127.1666666666666667
67,72.1343283582089552
67,88.3134328358208955
67,95.9253731343283582
67,99.2238805970149254
67,99.3432835820895522
67,110.5373134328358209
67,110.9552238805970149
67,116.1492537313432836
67,118.417910447761194
67,122.4776119402985075
67,130.626865671641791
67,136.9552238805970149
67,137.8955223880597015
68,80.7647058823529412
68,89.8970588235294118
68,92.6764705882352941
68,94.9264705882352941
68,118.2647058823529412
68,139.0882352941176471
69,94.5507246376811594
69,103.2173913043478261
69,125.7536231884057971
69,126.3623188405797101
69,137.1304347826086957
70,80.4428571428571429
70,91.1142857142857143
70,103.5857142857142857
70,105.2428571428571429
70,121.4714285714285714
70,125.5285714285714286
71,51.0563380281690141
71,85.7605633802816901
71,91.0422535211267606
71,96.3943661971830986
71,101.3802816901408451
71,105.4929577464788732
71,111.8873239436619718
71,119.4084507042253521
71,128.6338028169014085
71,133.4788732394366197
71,136.8169014084507042
71,141.8169014084507042
72,77.875
72,93.1666666666666667
72,94.0972222222222222
72,95.8472222222222222
72,104.6944444444444444
72,108.0694444444444444
72,110.8611111111111111
72,115.1944444444444444
72,124.1388888888888889
72,135.6666666666666667
73,85.6986301369863014
73,94.9452054794520548
73,103.0958904109589041
73,105.3698630136986301
73,114.8493150684931507
73,116.6027397260273973
73,116.863013698630137
73,126.136986301369863
73,127.1780821917808219
73,128.863013698630137
