route_id,stop_name
9501,Báthory utca / Bajcsy-Zsilinszky út
9630,Bátori László utca
9640,Bátori László utca
9560,Bátori László utca
9310,Batthyány utca
9480,Batthyány utca
9990,Batthyány utca
9960,Batthyány utca
9370,Bécsi út / Vörösvári út
9600,Bécsi út / Vörösvári út
9010,Bécsi út / Vörösvári út
9600,Békásmegyer
9230,Békásmegyer
9430,Békásmegyer
9340,Békásmegyer
9501,Béke tér
9140,Béke tér
9500,Béke tér
9960,Beller Imre utca
9961,Beller Imre utca
9140,Besence utca
9800,Besence utca
9990,Besence utca
9500,Beszterce utca
9501,Beszterce utca
9070,Bikás park
9010,Bikás park
9900,Blaha Lujza tér
9560,Blaha Lujza tér
9230,Blaha Lujza tér
9070,Blaha Lujza tér
9730,Blaha Lujza tér
9080,Blaha Lujza tér
9310,Blaha Lujza tér
9800,Bocskai István utca
9940,Bocskai István utca
9230,Bogdáni út
9180,Bogdáni út
9340,Bogdáni út
9600,Bojtár utca (Bécsi út)
9180,Bojtár utca (Bécsi út)
9790,Boráros tér
9791,Boráros tér
9180,Boráros tér
9230,Boráros tér
9900,Borsó utca
9680,Borsó utca
9560,Borsó utca
9070,Bosnyák tér
9790,Bosnyák tér
9960,Bökényföldi út
9080,Bökényföldi út
9961,Bökényföldi út
9220,Budagyöngye
9560,Budagyöngye
9722,"Budaörs, városháza"
9720,"Budaörs, városháza"
9400,"Budaörs, városháza"
9722,Budaörsi lakótelep
9400,Budaörsi lakótelep
9720,Budaörsi lakótelep
9960,Budapesti út
9961,Budapesti út
9310,Budapesti út
9730,Budatétény vasútállomás (Növény utca)
9410,Budatétény vasútállomás (Növény utca)
9630,Bükkfa utca
9560,Bükkfa utca
9960,Centenáriumi lakótelep
9961,Centenáriumi lakótelep
9070,Cházár András utca
9730,Cházár András utca
9920,Cinkota
9080,Cinkota
9980,Cinkotai autóbuszgarázs
9680,Cinkotai autóbuszgarázs
9961,Cinkotai autóbuszgarázs
9920,Cinkotai autóbuszgarázs
9080,Cinkotai autóbuszgarázs
9960,Cinkotai autóbuszgarázs
9180,Ciprus utca
9010,Ciprus utca
9900,Clark Ádám tér
9160,Clark Ádám tér
9790,Corvin-csomópont
9791,Corvin-csomópont
9790,Corvin-negyed
9230,Corvin-negyed
9140,Corvin-negyed
9791,Corvin-negyed
9500,Corvin-negyed
9501,Corvin-negyed
9900,Csaba vezér tér
9560,Csaba vezér tér
9230,Császár-Komjádi uszoda
9600,Császár-Komjádi uszoda
9340,Császár-Komjádi uszoda
9900,Császárfa utca
9560,Császárfa utca
9791,"Csepel, Csillagtelep"
9790,"Csepel, Csillagtelep"
9791,"Csepel, Kossuth Lajos utca"
9790,"Csepel, Kossuth Lajos utca"
9480,"Csepel, Kossuth Lajos utca"
9791,Csepeli híd
9790,Csepeli híd
9720,Csiki csárda
9722,Csiki csárda
9722,Csiki tanya
9720,Csiki tanya
9791,Csikó sétány
9790,Csikó sétány
9430,Csillaghegy
9230,Csillaghegy
9600,Csillaghegy
9791,Csille utca
9790,Csille utca
9961,Csömöri út
9310,Csömöri út
9960,Csömöri út
9501,Damjanich utca
9500,Damjanich utca
9410,Dayka Gábor utca
9720,Dayka Gábor utca
9080,Dayka Gábor utca
9722,Dayka Gábor utca
9400,Dayka Gábor utca
9310,Deák Ferenc tér
9160,Deák Ferenc tér
9791,Deák Ferenc tér
9140,Deák Ferenc tér
9090,Deák Ferenc tér
9790,Deák Ferenc tér
9501,Deák Ferenc tér
9500,Deák Ferenc tér
9900,Deák Ferenc tér
9720,Deák Ferenc utca
9722,Deák Ferenc utca
9990,Dél-pesti autóbuszgarázs
9230,Dél-pesti autóbuszgarázs
9940,Dél-pesti autóbuszgarázs
9800,Dél-pesti autóbuszgarázs
9140,Dél-pesti autóbuszgarázs
9480,Dél-pesti autóbuszgarázs
9600,Déli pályaudvar
9900,Déli pályaudvar
9140,Dembinszky utca
9790,Dembinszky utca
9310,Diófa utca
9960,Diófa utca
9560,Dombhát utca
9680,Dombhát utca
9900,Dombhát utca
9220,Dózsa György tér
9160,Dózsa György tér
9560,Dózsa György tér
9730,Dózsa György út
9500,Dózsa György út
9501,Dózsa György út
9560,Döbrentei tér
9070,Döbrentei tér
9730,Döbrentei tér
9080,Döbrentei tér
9500,Ecseri út
9501,Ecseri út
9140,Ecseri út
9960,EGIS Gyógyszergyár
9961,EGIS Gyógyszergyár
9180,Egressy út /ungária körút
9010,Egressy út /ungária körút
9310,Egyenes utcai lakótelep
9080,Egyenes utcai lakótelep
9900,Élessarok
9560,Élessarok
9090,Élessarok
9660,Előd utca
9230,Előd utca
9080,Erdei bekötőút
9920,Erdei bekötőút
9730,Erdőkerülő utca
9960,Erdőkerülő utca
9961,Erdőkerülő utca
9961,Erdőkerülő utca 27.
9960,Erdőkerülő utca 27.
9730,Erdőkerülő utca 27.
9730,Erdőkerülő utca 28.
9960,Erdőkerülő utca 28.
9961,Erdőkerülő utca 28.
9791,Erdősor utca
9380,Erdősor utca
9790,Erdősor utca
9940,Erdősor utca
9180,"Erzsébet királyné útja, aluljáró"
9730,"Erzsébet királyné útja, aluljáró"
9010,"Erzsébet királyné útja, aluljáró"
9660,Erzsébet utca
9500,Erzsébet utca
9960,Erzsébet utca
9501,Erzsébet utca
9961,Erzsébet utca
9140,Erzsébet utca
9010,Etele út / Fehérvári út
9730,Etele út / Fehérvári út
9900,Fehér úti ipari park
9560,Fehér úti ipari park
9722,Felsőhatár utca
9400,Felsőhatár utca
9720,Felsőhatár utca
9090,Felüljáró
9680,Felüljáró
9090,Felüljáró (Gyömrői út)
9680,Felüljáró (Gyömrői út)
9791,Fémmű utca
9790,Fémmű utca
9730,Ferenciek tere
9560,Ferenciek tere
9070,Ferenciek tere
9080,Ferenciek tere
9010,Ferencváros vá. -álenkij Robot Eh.
9180,Ferencváros vá. -álenkij Robot Eh.
9140,Fiastyúk utca
9500,Fiastyúk utca
9501,Fiastyúk utca
9180,Flórián tér
9340,Flórián tér
9010,Flórián tér
9230,Flórián tér
9501,Forgách utca
9500,Forgách utca
9430,Forrásliget lakópark
9600,Forrásliget lakópark
9790,Fő tér
9730,Fő tér
9961,Fő tér
9960,Fő tér
9501,Fő utca
9140,Fő utca
9500,Fő utca
9790,Fővám tér
9791,Fővám tér
9800,Frangepán utca
9140,Frangepán utca
9961,Futórózsa utca
9960,Futórózsa utca
9340,Galagonya utca
9230,Galagonya utca
9600,Galagonya utca
9990,Garázs utca
9480,Garázs utca
9730,Gárdonyi tér
9070,Gárdonyi tér
9720,Gazdagréti út
9400,Gazdagréti út
9722,Gazdagréti út
9080,Gazdagréti út
9920,Georgina utca
9080,Georgina utca
9080,Gépmadár park
9310,Gépmadár park
9090,Gergely utca (Sibrikiklós út)
9680,Gergely utca (Sibrikiklós út)
9961,Gida utca
9960,Gida utca
9400,Gimnázium
9720,Gimnázium
9722,Gimnázium
9180,Göncz Árpád városközpont
9501,Göncz Árpád városközpont
9010,Göncz Árpád városközpont
9500,Göncz Árpád városközpont
9090,Gőzmozdony utca
9680,Gőzmozdony utca
9080,Gumigyár
9310,Gumigyár
9900,Gumigyár
9560,Gumigyár
9080,Gyakorló köz
9310,Gyakorló köz
9722,Gyár utca
9720,Gyár utca
9501,Gyöngyösi utca
9500,Gyöngyösi utca
9140,Gyöngyösi utca
9980,Gyöngytyúk utca
9680,Gyöngytyúk utca
9961,György utca
9960,György utca
9310,György utca
9230,Haller utca / Soroksári út
9791,Haller utca / Soroksári út
9180,Haller utca / Soroksári út
9790,Haller utca / Soroksári út
9501,Halomi út
9500,Halomi út
9720,Harangláb
9722,Harangláb
9090,Harminckettesek tere
9230,Harminckettesek tere
9500,Határ út
9990,Határ út
9501,Határ út
9660,Határ út
9140,Határ út
9480,Határ utca
9560,Határ utca
9790,Helyi kikötő út
9791,Helyi kikötő út
9090,Hidegkuti Nándor Stadion
9180,Hidegkuti Nándor Stadion
9010,Hidegkuti Nándor Stadion
9900,Hild tér
9160,Hild tér
9480,Hofherr Albert utca
9990,Hofherr Albert utca
9500,Honvéd utca
9501,Honvéd utca
9180,Honvédkórház
9010,Honvédkórház
9010,Hős utca
9180,Hős utca
9790,Hősök tere
9980,Hősök tere
9501,Hubay Jenő tér
9960,Hubay Jenő tér
9961,Hubay Jenő tér
9500,Hubay Jenő tér
9640,Hunyadi János utca
9560,Hunyadi János utca
9480,Hunyadi tér
9990,Hunyadi tér
9961,Hunyadvár utca
9960,Hunyadvár utca
9080,Hunyadvár utca
9560,Huszár utca
9900,Huszár utca
9730,Huszár utca
9070,Huszár utca
9310,Huszár utca
9080,Huszár utca
9560,Hűvösvölgy
9630,Hűvösvölgy
9640,Hűvösvölgy
9720,Ibolya utca
9722,Ibolya utca
9960,Ida utca
9961,Ida utca
9080,Ilonatelep
9920,Ilonatelep
9960,Illyés Gyula utca
9961,Illyés Gyula utca
9960,Injekcióüzem
9961,Injekcióüzem
9990,Ipacsfa utca
9800,Ipacsfa utca
9140,Ipacsfa utca
9501,Iparvasút
9500,Iparvasút
9790,Iskola tér
9791,Iskola tér
9310,János utca
9960,János utca
9340,Jászaiari tér
9230,Jászaiari tér
9310,Jászaiari tér
9720,Jégvirág utca
9400,Jégvirág utca
9080,Jégvirág utca
9730,Jókaiór utca
9722,Jókaiór utca
9720,Jókaiór utca
9480,Jókaiór utca
9160,József nádor tér
9900,József nádor tér
9310,József utca
9960,József utca
9791,Jupiter utca
9790,Jupiter utca
9180,Kacsóh Pongrác út
9010,Kacsóh Pongrác út
9560,Kaffkaargit utca
9080,Kaffkaargit utca
9900,Kaffkaargit utca
9310,Kaffkaargit utca
9140,Kálvin tér
9501,Kálvin tér
9500,Kálvin tér
9791,Kálvin tér
9090,Kálvin tér
9790,Kálvin tér
9380,Karácsony Sándor utca
9790,Karácsony Sándor utca
9791,Karácsony Sándor utca
9480,Karácsony Sándor utca
9080,Karolina út
9720,Karolina út
9410,Karolina út
