stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
F02696,Széchenyi fürdő,47.517508,19.08098,F02696,,CSLM1SFV,2.0,-88.0
F02697,Széchenyi fürdő,47.517407,19.081481,F02697,,CSLM1SFV,2.0,89.0
F02698,Kós Károly sétány,47.518741,19.085166,,,,2.0,133.0
F02699,Bethesda utca,47.517922,19.086693,,,,1.0,-44.0
F02700,Bethesda utca,47.517390999999996,19.08717,,,,2.0,135.0
F02701,Közlekedésiúzeum,47.515511,19.089942999999998,,,,1.0,134.0
F02702,Közlekedésiúzeum,47.515691,19.09001,,,,1.0,-49.0
F02703,Közlekedésiúzeum,47.5156,19.090554,,,,1.0,-125.0
F02704,Közlekedésiúzeum,47.515546,19.09078,,,,1.0,55.0
F02705,Olof Palme sétány,47.511987,19.085055,,,,2.0,22.0
F02706,Olof Palme sétány,47.512499,19.08556,,,,1.0,-113.0
F02707,Dvořák sétány,47.510323,19.084059,,,,2.0,-121.0
F02708,Dvořák sétány,47.510377000000005,19.084497,,,,2.0,59.0
F02709,Ötvenhatosok tere,47.507146999999996,19.086459,,,,1.0,39.0
F02711,Zichy Géza utca,47.510421,19.090419,,,,1.0,-138.0
F02712,Zichy Géza utca,47.510348,19.090695999999998,,,,1.0,40.0
F02713,Vakok Intézete,47.513549,19.093168,,,,1.0,-45.0
F02714,Vakok Intézete,47.51255,19.09326,,,,1.0,-137.0
F02715,Vakok Intézete,47.512423999999996,19.094614,,,,1.0,134.0
F02716,Cházár András utca,47.505814,19.091582,,,,1.0,41.0
F02717,Cházár András utca,47.505868,19.09133,,,,1.0,-138.0
F02718,Stefánia út / Thököly út,47.508835,19.094491,,,,1.0,-42.0
F02720,Stefánia út / Thököly út,47.507936,19.09526,,,,1.0,141.0
F02722,Stefánia út / Thököly út,47.50808,19.094251999999997,,,,1.0,-139.0
F02723,Stefánia út / Thököly út,47.5087,19.095394,,,,1.0,39.0
F02724,Zugló vasútállomás (Hermina út),47.510642,19.097241,,,,1.0,
F02725,Zugló vasútállomás,47.511145,19.098662,,,,1.0,51.0
F02726,Zugló vasútállomás (Hermina út),47.510813,19.097825,,,,1.0,-135.0
F02727,Zugló vasútállomás,47.511586,19.098436,,,,1.0,142.0
F02729,Zugló vasútállomás,47.51137,19.099458,,,,1.0,-32.0
F02730,Zugló vasútállomás,47.511720000000004,19.099153,,,,1.0,-138.0
F02731,Zugló vasútállomás,47.510921,19.09958,,,,1.0,140.0
F02732,Zugló vasútállomás,47.511344,19.099156,,,,1.0,-38.0
F02733,Egressy út / Stefánia út,47.504768,19.099664,,,,2.0,-51.0
F02734,Egressy út / Stefánia út,47.504785,19.100806,,,,1.0,-127.0
F02735,Egressy út / Stefánia út,47.504902,19.10139,,,,1.0,48.0
F02736,Egressy út / Stefánia út,47.505371000000004,19.098285,,,,1.0,131.0
F02737,Szobránc köz,47.503336,19.103698,,,,1.0,-69.0
F02738,Szobránc köz,47.503309,19.103286999999998,,,,1.0,111.0
F02739,Egressy út /ungária körút,47.507087,19.104422,,,,2.0,-39.0
F02740,Egressy út /ungária körút,47.50704,19.10568,,,,1.0,-121.0
F02741,Egressy út /ungária körút,47.506906,19.105547,,,,1.0,59.0
F02742,Egressy út /ungária körút,47.506799,19.104116,,,,2.0,144.0
F02743,Egressy út /ungária körút,47.507177,19.10405,,,,1.0,-37.0
