route_id,stop_name
0050,Alagút utca
3010,Albert Flórián út
2810,Albert Flórián út
0944,Albert Flórián út
0844,Albert Flórián út
3410,Albert Flórián út
2944,Albert Flórián út
3560,Albertfalva kitérő
3470,Albertfalva kitérő
3010,Albertfalva kitérő
3190,Albertfalva kitérő
3478,Albertfalva kitérő
3480,Albertfalva kitérő
3170,Albertfalva kitérő
3410,Albertfalva kitérő
3560,Albertfalva utca
3480,Albertfalva utca
1140,Albertfalva utca
3470,Albertfalva utca
3170,Albertfalva utca
2130,Albertfalva utca
3410,Albertfalva utca
3478,Albertfalva utca
2140,Albertfalva utca
3010,Albertfalva utca
3190,Albertfalva utca
0070,Albertfalva vasútállomás
0580,Albertfalva vasútállomás
1880,Alcsiki dűlő
0880,Alcsiki dűlő
0881,Alcsiki dűlő
1885,Alcsiki dűlő
2511,Alkotmány utca
2510,Alkotmány utca
2411,Alkotmány utca
2410,Alkotmány utca
0310,Állás utca
1740,Állás utca
1750,Állás utca
4724,Állatkert
4728,Állatkert
0380,Almafa utca
2380,Almafa utca
0381,Almafa utca
2780,Almafa utca
1380,Almafa utca
1480,Álmos utca
0950,Álmos utca
1440,Álmos vezér útja
1310,Álmos vezér útja
2310,Álmos vezér útja
4820,Álmos vezér útja
1110,Alsó Zöldmáli út
0290,Alsó Zöldmáli út
1610,Alsódabas utca
2980,Alsódabas utca
1615,Alsódabas utca
2620,Alsódabas utca
2025,Alsódabas utca
1620,Alsódabas utca
3170,Alsóhegy utca
3610,Alsóhegy utca
2120,Alsóhegy utca
1750,Alsómalom utca
1740,Alsómalom utca
0670,Aluljáró (Rézvirág utca)
1615,Aluljáró (Rézvirág utca)
0550,Alvinc utca
0540,Alvinc utca
0070,Amerikai út
1100,Amerikai út
1120,Amerikai út
0320,Amerikai út (Mexikói út)
4740,Amerikai út (Mexikói út)
1980,Ananász utca
2765,Ananász utca
3010,Andor utca
3480,Andor utca
3190,Andor utca
3470,Andor utca
3170,Andor utca
3560,Andor utca
3410,Andor utca
3478,Andor utca
1530,Andor utca / Tétényi út
2140,Andor utca / Tétényi út
2130,Andor utca / Tétényi út
1140,Andor utca / Tétényi út
0070,Andor utca / Tétényi út
4700,Andrássy út (Opera)
4780,Andrássy út (Opera)
4760,Andrássy út (Vörösmarty utca)
4734,Andrássy út (Vörösmarty utca)
4768,Andrássy út (Vörösmarty utca)
0330,Angeli utca / Nagytétényi út
0130,Angeli utca / Nagytétényi út
1335,Angeli utca / Nagytétényi út
1130,Angeli utca / Nagytétényi út
1131,Angeli utca / Nagytétényi út
3120,Angyalföld kocsiszín
0301,Angyalföld kocsiszín
3140,Angyalföld kocsiszín
3170,Angyalföld kocsiszín
3410,Angyalföld kocsiszín
0205,Angyalföld kocsiszín
3014,Angyalföld kocsiszín
3010,Angyalföld kocsiszín
0300,Angyalföld kocsiszín
2300,Angyalföld kocsiszín
3148,Angyalföld kocsiszín
3410,Angyalföld vasútállomás
3140,Angyalföld vasútállomás
0300,Angyalföld vasútállomás
3148,Angyalföld vasútállomás
3010,Angyalföld vasútállomás
1200,Angyalföld vasútállomás
3170,Angyalföld vasútállomás
3014,Angyalföld vasútállomás
2300,Angyalföld vasútállomás
0301,Angyalföld vasútállomás
1460,Anilin utca
0460,Anilin utca
0450,Anilin utca
1640,Anna kápolna
0641,Anna kápolna
2640,Anna kápolna
0640,Anna kápolna
1012,Antalháza
1410,Antalháza
2770,Apolló utca
0085,Apolló utca
0070,Apolló utca
1085,Apolló utca
1020,Apor Vilmos tér
3592,Apor Vilmos tér
3598,Apor Vilmos tér
3590,Apor Vilmos tér
3591,Apor Vilmos tér
1100,Apor Vilmos tér
1050,Apor Vilmos tér
1120,Apor Vilmos tér
0910,Apostol utca
1910,Apostol utca
2910,Apostol utca
6470,Aquincum
6400,Aquincum
1340,Aquincum
0340,Aquincum
