service_id,date,exception_type
B93930K1HPKM-0031,20201222,1
B93930K1HPKM-0031,20201223,1
B94521AHPSzN-011,20201214,1
B94521AHPSzN-011,20201215,1
B94521AHPSzN-011,20201216,1
B94521AHPSzN-011,20201217,1
B94521AHPSzN-011,20201218,1
B94521AHPSzN-011,20201221,1
B94521AHPSzN-011,20201222,1
B94521AHPSzN-011,20201223,1
B94521AHPSzN-011,20210104,1
B94521AHPSzN-011,20210105,1
B94521AHPSzN-011,20210106,1
B94521AHPSzN-011,20210107,1
B94521AHPSzN-011,20210108,1
B94521AHPSzN-011,20210111,1
B94521AHPSzN-011,20210112,1
B94521AHPSzN-011,20210113,1
B94521AHPSzN-011,20210114,1
B94521AHPSzN-011,20210115,1
B94521AHPSzN-011,20210118,1
B94521AHPSzN-011,20210119,1
B94521AHPSzN-011,20210120,1
B94521AHPSzN-011,20210121,1
B94521AHPSzN-011,20210122,1
B94521AHPSzN-011,20210125,1
B94521AHPSzN-011,20210126,1
B94521AHPSzN-011,20210127,1
B94521AHPSzN-011,20210128,1
B94521AHPSzN-011,20210129,1
B94521AHPSzN-011,20210201,1
B94524ASZSzN-011,20201213,1
B94524ASZSzN-011,20201219,1
B94524ASZSzN-011,20201220,1
B94524ASZSzN-011,20210102,1
B94524ASZSzN-011,20210109,1
B94524ASZSzN-011,20210116,1
B94524ASZSzN-011,20210123,1
B94524ASZSzN-011,20210130,1
B97059ASZKM-0061,20201224,1
B97059ASZKM-0061,20210109,1
B97059ASZKM-0061,20210116,1
B97059ASZKM-0061,20210123,1
B97059ASZKM-0061,20210130,1
B97060AVVKM-0061,20201225,1
B97060AVVKM-0061,20201226,1
B97060AVVKM-0061,20201227,1
B97060AVVKM-0061,20210101,1
B97060AVVKM-0061,20210103,1
B97060AVVKM-0061,20210110,1
B97060AVVKM-0061,20210117,1
B97060AVVKM-0061,20210124,1
B97060AVVKM-0061,20210131,1
B97626ASZLA-0051,20201219,1
B97626ASZLA-0051,20210102,1
B97626ASZLA-0051,20210109,1
B97626ASZLA-0051,20210116,1
B97626ASZLA-0051,20210123,1
B97626ASZLA-0051,20210130,1
B98712ÜNVVRM-0021,20201225,1
B98712ÜNVVRM-0021,20201226,1
B98848K1HPSzN-011,20201221,1
B98848K1HPSzN-011,20201222,1
B98848K1HPSzN-011,20201223,1
B98848K1HPSzN-011,20201228,1
B98848K1HPSzN-011,20201229,1
B98848K1HPSzN-011,20201230,1
B98848K1HPSzN-011,20201231,1
B99013K1HPSzL-011,20201221,1
B99013K1HPSzL-011,20201222,1
B99013K1HPSzL-011,20201223,1
B99013K1HPSzL-011,20201228,1
B99013K1HPSzL-011,20201229,1
B99013K1HPSzL-011,20201230,1
B99013K1HPSzL-011,20201231,1
B99054K1HPRG-0021,20201221,1
B99054K1HPRG-0021,20201222,1
B99054K1HPRG-0021,20201223,1
B99054K1HPRG-0021,20201228,1
B99054K1HPRG-0021,20201229,1
B99054K1HPRG-0021,20201230,1
B99054K1HPRG-0021,20201231,1
B99222K1HPMAA-011,20201221,1
B99222K1HPMAA-011,20201222,1
B99222K1HPMAA-011,20201223,1
B99304ASZMAA-011,20201219,1
B99304ASZMAA-011,20210102,1
B99304ASZMAA-011,20210109,1
B99304ASZMAA-011,20210116,1
B99304ASZMAA-011,20210123,1
B99304ASZMAA-011,20210130,1
B99389K1PPMAA-021,20201223,1
B99619APPMAA-011,20201218,1
B99619APPMAA-011,20210108,1
